Channel ID,Name,Description,Owner ID,Subscribers,Creation Date
1,Epic Gaming Hub,"Daily walkthroughs, tips, and news on your favorite games.",301,18726,4/23/2022
2,QuickTech Reviews,Honest gadget reviews and tech tutorials every week.,302,75169,4/25/2022
3,Cinema Corner,"Movie news, reviews, and deep‑dive analyses.",303,27855,5/31/2022
4,HomeCooking Daily,"Simple, delicious recipes you can make at home.",304,111755,7/10/2022
5,Guitar Masters,Step‑by‑step guitar lessons for all levels.,305,74875,10/30/2022
6,Fitness Pro Tips,Workouts & nutrition advice to reach your goals.,306,33232,8/21/2023
7,DIY Maker Lab,Creative projects and maker tutorials for DIY enthusiasts.,307,15001,9/1/2023
8,World Travel Vlogs,Travel guides and cultural insights from around the world.,308,104385,11/8/2023
9,Science Explained,Short videos that make complex science easy to grasp.,309,145562,3/5/2024
10,Indie Music Lounge,Showcasing the best new indie music and artist interviews.,310,152408,5/1/2024