Video ID,Title,Channel ID,Category,Duration,Rating,Upload Date
1,Life of Bees: Full Documentary,8,Documentary,5510,3.15,1/2/2025
2,3D Print Your Own Phone Stand,6,DIY,2880,3.89,1/4/2025
3,The Ultimate Chocolate Brownies,2,Food,6043,3.64,1/6/2025
4,How to Mix Vocals in Logic Pro,10,Music,6499,3.34,1/10/2025
5,20‑Minute HIIT Workout,4,Fitness,4922,2.72,1/10/2025
6,Backpacking Patagonia Guide,6,Travel,225,4.74,1/10/2025
7,Arduino Smart Home Project,4,DIY,3443,3.83,1/12/2025
8,Top 10 Sci‑Fi Movies on Netflix,1,Movies,5353,3.22,1/13/2025
9,Building an $800 PC in 2025,8,Technology,6380,4.07,1/17/2025
10,AI Tools You Should Try Today,4,Technology,4577,3.71,1/18/2025
11,How to Bake Perfect Sourdough,3,Food,1379,4.98,1/20/2025
12,Building a Raspberry Pi Arcade,8,DIY,3221,4.38,1/23/2025
13,Best Plot Twists in Film History,1,Movies,203,2.84,1/23/2025
14,Painting Basics: Choosing Colors,4,DIY,292,3.14,1/29/2025
15,Marvel Phase 5 Timeline Breakdown,6,Movies,5731,3.18,2/1/2025
16,Oppenheimer Movie Ending Explained,7,Movies,5315,3.55,2/5/2025
17,Knife‑Making for Beginners,2,DIY,5179,2.66,2/6/2025
18,Vegan Tacos for Beginners,6,Food,5912,2.72,2/8/2025
19,Beginner's Guide to Statistics,7,Education,190,4.49,2/13/2025
20,History of the Roman Empire,7,Education,721,3.87,2/15/2025
21,5 Yoga Poses for Back Pain,7,Fitness,358,4.96,2/16/2025
22,Oscar Predictions 2025,5,Movies,3990,2.58,2/17/2025
23,What is the Blockchain?,9,Education,2862,3.54,2/20/2025
24,Understanding Climate Change,1,Education,5355,4.09,2/21/2025
25,Top 10 Things to Do in Tokyo,3,Travel,3552,2.66,2/25/2025
26,Training for Your First 5K,3,Fitness,3168,4.17,3/1/2025
27,Top 10 K‑Pop Songs of 2025,2,Music,6876,4.7,3/5/2025
28,Best Budget Studio Monitors,1,Music,6330,3.8,3/7/2025
29,Home Dumbbell Workout Plan,9,Fitness,2628,2.87,3/8/2025
30,Relativity Explained in 10 Minutes,5,Education,6478,4.59,3/12/2025
31,How to Lose Fat without Losing Muscle,6,Fitness,1156,3.84,3/17/2025
32,Hidden Gems in Prague,6,Travel,4356,2.8,3/17/2025
33,Easy 15‑Minute Pasta Recipe,3,Food,6692,3.97,3/20/2025
34,Elden Ring Boss Guide: Malenia,7,Gaming,628,4.35,3/21/2025
35,Plastic Pollution Crisis,8,Documentary,5595,2.55,3/22/2025
36,How Quantum Computing Works,8,Technology,6169,4.35,3/26/2025
37,Van Life: Costs & Tips,8,Travel,2608,3.57,3/28/2025
38,Fortnite Chapter 5 Season 1 Overview,1,Gaming,1419,3.8,3/28/2025
39,iPhone 17 Review: Is It Worth $1199?,9,Technology,4336,3.89,4/2/2025
40,Songwriting 101: Melody vs Lyrics,6,Music,4217,2.76,4/3/2025
41,5 Healthy Breakfast Ideas,6,Food,1962,4.73,4/7/2025
42,Best Beaches in Thailand,6,Travel,880,3.18,4/9/2025
43,Speedrunning Super Mario Odyssey - 1 Hour,9,Gaming,2112,3.01,4/10/2025
44,Beginner Guitar Chords Tutorial,6,Music,2287,3.5,4/11/2025
45,How to Refinish Old Furniture,9,DIY,778,4.89,4/15/2025
46,Best Budget Gaming PCs 2025,9,Gaming,1754,4.4,4/25/2025
47,Piano Cover: Bohemian Rhapsody,1,Music,1710,3.17,4/25/2025
48,Top 10 Nintendo Switch Games in 2025,4,Gaming,817,4,4/27/2025
49,The Story of Apollo 11,2,Documentary,2914,3.89,4/30/2025
50,Dune Part Two Spoiler Review,3,Movies,6747,4.84,5/5/2025
51,How to Travel Europe on $50 a Day,3,Travel,6559,4.75,5/5/2025
52,How CRISPR Gene Editing Works,8,Education,6104,3.5,5/8/2025
53,10‑Minute Morning Stretch,1,Fitness,2224,4.28,5/10/2025
54,Wildlife of the Sahara,10,Documentary,4102,3.35,5/11/2025
55,Top 5 Programming Languages to Learn,4,Technology,7004,3.75,5/12/2025
56,Google Pixel Fold 2 First Impressions,3,Technology,5115,4.09,5/19/2025
57,Minecraft 1.21 Building Ideas,10,Gaming,5110,4.93,5/20/2025
58,Inside the Amazon Rainforest,6,Documentary,5819,3.96,5/22/2025
59,Secrets of the Coral Reef,1,Documentary,3074,4.65,5/25/2025
60,Making Sushi at Home,6,Food,5600,4.64,5/26/2025